YM,CATEGORY,ITEM_CNT,QTY,PRICE,MAXTEMP,SALEDAY,RAIN_DAY,HOLIDAY
200901,건강음료,37,1410,1543,4,126753,151,12
200902,건강음료,37,1209,1543,9,113399,3014,8
200903,건강음료,38,1348,1547,12,129162,1383,9
200904,건강음료,38,1377,1500,19,126277,3564,8
200905,건강음료,40,1406,1528,25,129584,9288,12
200906,건강음료,39,1343,1623,27,123218,9998,8
200907,건강음료,38,1313,1600,28,131083,17405,8
200908,건강음료,39,1448,1577,29,130040,7704,10
200909,건강음료,41,1531,1559,27,131989,4096,8
200910,건강음료,43,1670,1586,22,136095,2824,10
200911,건강음료,44,1572,1573,12,136152,3684,9
200912,건강음료,46,1595,1789,5,137391,216,9
201001,건강음료,45,1432,1796,2,141145,792,11
201002,건강음료,45,1287,1796,7,128528,4384,9
201003,건강음료,45,1430,1796,10,145771,2940,9
201004,건강음료,45,1503,1796,15,130412,5973,8
201005,건강음료,44,1526,1877,23,143681,8656,12
201006,건강음료,40,1409,1940,28,145035,6325,8
201007,건강음료,40,1380,1940,29,148561,14930,9
201008,건강음료,40,1372,1940,31,153056,30531,9
201009,건강음료,41,1519,1971,27,147804,23150,11
201010,건강음료,41,2052,1988,20,155952,1337,10
201011,건강음료,41,1655,1988,13,154482,0,8
201012,건강음료,41,1762,1988,5,161292,886,8
201101,건강음료,42,1626,1957,-1,163610,82,10
201102,건강음료,41,1496,1988,7,149737,5587,11
201103,건강음료,41,1678,1988,10,169838,919,9
201104,건강음료,41,1653,1988,17,167577,8244,9
201105,건강음료,38,1654,2051,23,176452,7345,10
201106,건강음료,37,1580,2012,27,173664,25001,9
201107,건강음료,37,1553,2012,29,182676,43058,10
201108,건강음료,37,1799,2012,29,186850,20554,9
201109,건강음료,36,1773,2026,26,184270,5373,10
201110,건강음료,33,1914,2026,20,194286,4146,11
201111,건강음료,31,1907,2156,16,191703,10027,8
201112,건강음료,30,1975,2112,5,201541,489,9
201201,건강음료,30,1701,2112,3,203133,362,11
201202,건강음료,31,1607,2182,5,186880,377,8
201203,건강음료,31,1578,2182,11,212945,6556,10
201204,건강음료,42,1541,10944,18,209151,17042,9
201205,건강음료,42,1662,10944,24,215673,2095,10
201206,건강음료,45,1518,10266,28,215525,8865,10
201207,건강음료,43,1554,10441,29,203590,25076,9
201208,건강음료,43,1501,10462,30,228142,32385,9
201209,건강음료,42,1912,10625,25,223581,23569,10
201210,건강음료,44,2045,10188,21,233331,11111,10
201211,건강음료,40,1907,11094,11,229144,4805,8
201212,건강음료,38,2141,11309,2,239129,3706,11
201301,건강음료,38,1828,11309,2,240416,2528,9
201302,건강음료,38,1605,11309,5,217015,6667,9
201303,건강음료,38,1780,11309,12,243648,4364,11
201304,건강음료,38,1649,11309,15,237340,6727,8
201305,건강음료,38,1670,11309,23,245068,17217,10
201306,건강음료,37,1427,11566,28,236180,7360,11
201307,건강음료,37,1333,11572,29,241687,41344,8
201308,건강음료,35,1467,12456,31,240142,22284,10
201309,건강음료,34,1583,11116,26,231662,13699,12
201310,건강음료,32,1996,11739,21,239981,3011,10
201311,건강음료,33,2000,11420,12,232854,2944,9
201312,건강음료,33,2039,11420,5,240458,202,10
200901,과즙음료,45,990,2611,4,126753,151,12
200902,과즙음료,45,1199,2689,9,113399,3014,8
200903,과즙음료,43,1102,2735,12,129162,1383,9
200904,과즙음료,42,1326,2807,19,126277,3564,8
200905,과즙음료,46,1672,2674,25,129584,9288,12
200906,과즙음료,48,1875,2777,27,123218,9998,8
200907,과즙음료,53,1663,2858,28,131083,17405,8
200908,과즙음료,52,1957,2886,29,130040,7704,10
200909,과즙음료,54,2021,2838,27,131989,4096,8
200910,과즙음료,56,1718,2879,22,136095,2824,10
200911,과즙음료,58,1204,2853,12,136152,3684,9
200912,과즙음료,57,1147,2694,5,137391,216,9
201001,과즙음료,55,1106,2746,2,141145,792,11
201002,과즙음료,55,1361,2752,7,128528,4384,9
201003,과즙음료,55,1432,2800,10,145771,2940,9
201004,과즙음료,57,1750,2768,15,130412,5973,8
201005,과즙음료,57,2204,2768,23,143681,8656,12
201006,과즙음료,63,2366,2637,28,145035,6325,8
201007,과즙음료,63,2681,2637,29,148561,14930,9
201008,과즙음료,62,2321,2660,31,153056,30531,9
201009,과즙음료,64,1963,2786,27,147804,23150,11
201010,과즙음료,63,2321,2811,20,155952,1337,10
201011,과즙음료,65,1548,2932,13,154482,0,8
201012,과즙음료,66,1306,2958,5,161292,886,8
201101,과즙음료,68,1268,2960,-1,163610,82,10
201102,과즙음료,65,1528,3042,7,149737,5587,11
201103,과즙음료,63,1874,3112,10,169838,919,9
201104,과즙음료,74,2200,2984,17,167577,8244,9
201105,과즙음료,72,3247,2937,23,176452,7345,10
201106,과즙음료,73,2783,2913,27,173664,25001,9
201107,과즙음료,74,2593,3039,29,182676,43058,10
201108,과즙음료,79,2765,2792,29,186850,20554,9
201109,과즙음료,77,2971,2817,26,184270,5373,10
201110,과즙음료,76,2459,2838,20,194286,4146,11
201111,과즙음료,75,2299,2876,16,191703,10027,8
201112,과즙음료,75,1823,2876,5,201541,489,9
201201,과즙음료,71,1402,2942,3,203133,362,11
201202,과즙음료,72,1859,2907,5,186880,377,8
201203,과즙음료,70,2566,2941,11,212945,6556,10
201204,과즙음료,77,2475,2818,18,209151,17042,9
201205,과즙음료,80,3653,3146,24,215673,2095,10
201206,과즙음료,83,3474,3251,28,215525,8865,10
201207,과즙음료,76,2568,2205,29,203590,25076,9
201208,과즙음료,73,2854,2218,30,228142,32385,9
201209,과즙음료,69,2744,2269,25,223581,23569,10
201210,과즙음료,71,2369,2246,21,233331,11111,10
201211,과즙음료,67,1833,2299,11,229144,4805,8
201212,과즙음료,64,1621,2158,2,239129,3706,11
201301,과즙음료,63,1627,2184,2,240416,2528,9
201302,과즙음료,65,1624,2337,5,217015,6667,9
201303,과즙음료,63,2103,2376,12,243648,4364,11
201304,과즙음료,60,2117,2445,15,237340,6727,8
201305,과즙음료,62,2606,2419,23,245068,17217,10
201306,과즙음료,56,2621,1962,28,236180,7360,11
201307,과즙음료,59,2336,1936,29,241687,41344,8
201308,과즙음료,61,2755,1957,31,240142,22284,10
201309,과즙음료,59,2992,1928,26,231662,13699,12
201310,과즙음료,64,2563,1898,21,239981,3011,10
201311,과즙음료,68,1878,1923,12,232854,2944,9
201312,과즙음료,65,1770,1939,5,240458,202,10
200901,비타민음료,1,27,1300,4,126753,151,12
200902,비타민음료,2,29,1300,9,113399,3014,8
200903,비타민음료,2,67,1300,12,129162,1383,9
200904,비타민음료,2,60,1300,19,126277,3564,8
200905,비타민음료,2,74,1300,25,129584,9288,12
200906,비타민음료,2,84,1300,27,123218,9998,8
200907,비타민음료,2,61,1300,28,131083,17405,8
200908,비타민음료,2,63,1300,29,130040,7704,10
200909,비타민음료,2,56,1300,27,131989,4096,8
200910,비타민음료,2,50,1300,22,136095,2824,10
200911,비타민음료,2,31,1300,12,136152,3684,9
200912,비타민음료,6,42,1633,5,137391,216,9
201001,비타민음료,6,226,1633,2,141145,792,11
201002,비타민음료,6,185,1633,7,128528,4384,9
201003,비타민음료,6,229,1633,10,145771,2940,9
201004,비타민음료,7,326,1657,15,130412,5973,8
201005,비타민음료,7,445,1657,23,143681,8656,12
201006,비타민음료,5,438,1780,28,145035,6325,8
201007,비타민음료,8,387,1725,29,148561,14930,9
201008,비타민음료,8,599,1725,31,153056,30531,9
201009,비타민음료,8,728,1725,27,147804,23150,11
201010,비타민음료,8,916,1725,20,155952,1337,10
201011,비타민음료,8,687,1725,13,154482,0,8
201012,비타민음료,9,601,1744,5,161292,886,8
201101,비타민음료,9,581,1744,-1,163610,82,10
201102,비타민음료,9,691,1744,7,149737,5587,11
201103,비타민음료,9,452,1744,10,169838,919,9
201104,비타민음료,9,511,1744,17,167577,8244,9
201105,비타민음료,12,660,1758,23,176452,7345,10
201106,비타민음료,12,1088,1758,27,173664,25001,9
201107,비타민음료,11,992,1800,29,182676,43058,10
201108,비타민음료,11,1022,1800,29,186850,20554,9
201109,비타민음료,11,991,1800,26,184270,5373,10
201110,비타민음료,10,734,1830,20,194286,4146,11
201111,비타민음료,11,554,1836,16,191703,10027,8
201112,비타민음료,11,460,1836,5,201541,489,9
201201,비타민음료,11,481,1836,3,203133,362,11
201202,비타민음료,11,441,1836,5,186880,377,8
201203,비타민음료,11,545,1836,11,212945,6556,10
201204,비타민음료,11,659,1836,18,209151,17042,9
201205,비타민음료,13,771,1831,24,215673,2095,10
201206,비타민음료,14,776,1836,28,215525,8865,10
201207,비타민음료,16,893,1844,29,203590,25076,9
201208,비타민음료,15,1338,1840,30,228142,32385,9
201209,비타민음료,14,792,1900,25,223581,23569,10
201210,비타민음료,14,1222,1900,21,233331,11111,10
201211,비타민음료,14,833,1900,11,229144,4805,8
201212,비타민음료,14,727,1900,2,239129,3706,11
201301,비타민음료,16,432,1888,2,240416,2528,9
201302,비타민음료,16,447,1888,5,217015,6667,9
201303,비타민음료,18,623,1944,12,243648,4364,11
201304,비타민음료,20,1089,1755,15,237340,6727,8
201305,비타민음료,21,1524,1767,23,245068,17217,10
201306,비타민음료,21,978,1933,28,236180,7360,11
201307,비타민음료,20,1036,1930,29,241687,41344,8
201308,비타민음료,19,1155,1879,31,240142,22284,10
201309,비타민음료,20,822,1885,26,231662,13699,12
201310,비타민음료,19,730,1932,21,239981,3011,10
201311,비타민음료,20,502,1935,12,232854,2944,9
201312,비타민음료,20,345,1935,5,240458,202,10
200901,"스포츠,이온음료",12,622,1508,4,126753,151,12
200902,"스포츠,이온음료",12,660,1533,9,113399,3014,8
200903,"스포츠,이온음료",12,794,1554,12,129162,1383,9
200904,"스포츠,이온음료",12,1119,1529,19,126277,3564,8
200905,"스포츠,이온음료",12,1524,1529,25,129584,9288,12
200906,"스포츠,이온음료",13,1480,1488,27,123218,9998,8
200907,"스포츠,이온음료",15,1509,1490,28,131083,17405,8
200908,"스포츠,이온음료",15,1876,1490,29,130040,7704,10
200909,"스포츠,이온음료",15,1534,1490,27,131989,4096,8
200910,"스포츠,이온음료",15,1218,1490,22,136095,2824,10
200911,"스포츠,이온음료",15,738,1490,12,136152,3684,9
200912,"스포츠,이온음료",15,686,1490,5,137391,216,9
201001,"스포츠,이온음료",13,676,1488,2,141145,792,11
201002,"스포츠,이온음료",13,748,1519,7,128528,4384,9
201003,"스포츠,이온음료",15,986,1490,10,145771,2940,9
201004,"스포츠,이온음료",17,1080,1447,15,130412,5973,8
201005,"스포츠,이온음료",17,2537,1447,23,143681,8656,12
201006,"스포츠,이온음료",17,2050,1447,28,145035,6325,8
201007,"스포츠,이온음료",17,2218,1462,29,148561,14930,9
201008,"스포츠,이온음료",16,2467,1459,31,153056,30531,9
201009,"스포츠,이온음료",16,2036,1459,27,147804,23150,11
201010,"스포츠,이온음료",16,1470,1459,20,155952,1337,10
201011,"스포츠,이온음료",16,1138,1459,13,154482,0,8
201012,"스포츠,이온음료",16,877,1459,5,161292,886,8
201101,"스포츠,이온음료",16,729,1459,-1,163610,82,10
201102,"스포츠,이온음료",16,939,1478,7,149737,5587,11
201103,"스포츠,이온음료",16,1241,1534,10,169838,919,9
201104,"스포츠,이온음료",16,1457,1534,17,167577,8244,9
201105,"스포츠,이온음료",16,2285,1534,23,176452,7345,10
201106,"스포츠,이온음료",16,2015,1550,27,173664,25001,9
201107,"스포츠,이온음료",18,2253,1528,29,182676,43058,10
201108,"스포츠,이온음료",18,2930,1528,29,186850,20554,9
201109,"스포츠,이온음료",18,2264,1528,26,184270,5373,10
201110,"스포츠,이온음료",17,1610,1576,20,194286,4146,11
201111,"스포츠,이온음료",17,1216,1576,16,191703,10027,8
201112,"스포츠,이온음료",17,934,1576,5,201541,489,9
201201,"스포츠,이온음료",17,1013,1576,3,203133,362,11
201202,"스포츠,이온음료",17,929,1576,5,186880,377,8
201203,"스포츠,이온음료",19,1171,1553,11,212945,6556,10
201204,"스포츠,이온음료",19,2306,1553,18,209151,17042,9
201205,"스포츠,이온음료",18,3671,1544,24,215673,2095,10
201206,"스포츠,이온음료",20,2838,1530,28,215525,8865,10
201207,"스포츠,이온음료",20,3016,1530,29,203590,25076,9
201208,"스포츠,이온음료",20,3241,1530,30,228142,32385,9
201209,"스포츠,이온음료",20,2598,1560,25,223581,23569,10
201210,"스포츠,이온음료",19,2252,1600,21,233331,11111,10
201211,"스포츠,이온음료",19,1069,1600,11,229144,4805,8
201212,"스포츠,이온음료",18,882,1603,2,239129,3706,11
201301,"스포츠,이온음료",18,1199,1625,2,240416,2528,9
201302,"스포츠,이온음료",18,955,1625,5,217015,6667,9
201303,"스포츠,이온음료",17,1895,1668,12,243648,4364,11
201304,"스포츠,이온음료",18,1797,1631,15,237340,6727,8
201305,"스포츠,이온음료",20,2705,1613,23,245068,17217,10
201306,"스포츠,이온음료",21,3282,1626,28,236180,7360,11
201307,"스포츠,이온음료",22,2972,1661,29,241687,41344,8
201308,"스포츠,이온음료",23,4194,1657,31,240142,22284,10
201309,"스포츠,이온음료",24,2476,1685,26,231662,13699,12
201310,"스포츠,이온음료",23,1947,1693,21,239981,3011,10
201311,"스포츠,이온음료",23,1233,1693,12,232854,2944,9
201312,"스포츠,이온음료",23,1182,1693,5,240458,202,10
201003,에너지음료,1,24,1000,10,145771,2940,9
201004,에너지음료,2,193,1000,15,130412,5973,8
201005,에너지음료,4,374,850,23,143681,8656,12
201006,에너지음료,4,584,850,28,145035,6325,8
201007,에너지음료,4,542,850,29,148561,14930,9
201008,에너지음료,4,511,850,31,153056,30531,9
201009,에너지음료,4,348,850,27,147804,23150,11
201010,에너지음료,4,116,850,20,155952,1337,10
201011,에너지음료,3,238,800,13,154482,0,8
201012,에너지음료,3,222,800,5,161292,886,8
201101,에너지음료,1,185,1000,-1,163610,82,10
201102,에너지음료,1,207,1000,7,149737,5587,11
201103,에너지음료,1,261,1000,10,169838,919,9
201104,에너지음료,1,340,1000,17,167577,8244,9
201105,에너지음료,3,75,1333,23,176452,7345,10
201106,에너지음료,3,119,1333,27,173664,25001,9
201107,에너지음료,3,412,1333,29,182676,43058,10
201108,에너지음료,4,200,1725,29,186850,20554,9
201109,에너지음료,4,467,1725,26,184270,5373,10
201110,에너지음료,4,562,1725,20,194286,4146,11
201111,에너지음료,4,438,1725,16,191703,10027,8
201112,에너지음료,4,514,1725,5,201541,489,9
201201,에너지음료,4,386,1725,3,203133,362,11
201202,에너지음료,5,435,1660,5,186880,377,8
201203,에너지음료,5,732,1660,11,212945,6556,10
201204,에너지음료,4,1183,1350,18,209151,17042,9
201205,에너지음료,6,1428,1633,24,215673,2095,10
201206,에너지음료,7,1573,1543,28,215525,8865,10
201207,에너지음료,7,1825,1543,29,203590,25076,9
201208,에너지음료,7,2425,1543,30,228142,32385,9
201209,에너지음료,9,2601,1522,25,223581,23569,10
201210,에너지음료,10,2455,1560,21,233331,11111,10
201211,에너지음료,11,1774,1555,11,229144,4805,8
201212,에너지음료,12,1521,1508,2,239129,3706,11
201301,에너지음료,12,1246,1508,2,240416,2528,9
201302,에너지음료,12,951,1433,5,217015,6667,9
201303,에너지음료,16,1593,1569,12,243648,4364,11
201304,에너지음료,17,1935,1535,15,237340,6727,8
201305,에너지음료,17,2073,1535,23,245068,17217,10
201306,에너지음료,17,2169,1594,28,236180,7360,11
201307,에너지음료,17,2606,1594,29,241687,41344,8
201308,에너지음료,17,2256,1459,31,240142,22284,10
201309,에너지음료,17,2254,1488,26,231662,13699,12
201310,에너지음료,18,1981,1567,21,239981,3011,10
201311,에너지음료,18,1082,1567,12,232854,2944,9
201312,에너지음료,17,988,1541,5,240458,202,10
200901,일반탄산음료,29,2213,1169,4,126753,151,12
200902,일반탄산음료,28,2239,1200,9,113399,3014,8
200903,일반탄산음료,31,2767,1194,12,129162,1383,9
200904,일반탄산음료,30,3696,1158,19,126277,3564,8
200905,일반탄산음료,34,3773,1135,25,129584,9288,12
200906,일반탄산음료,37,3833,1130,27,123218,9998,8
200907,일반탄산음료,38,3525,1126,28,131083,17405,8
200908,일반탄산음료,38,4087,1125,29,130040,7704,10
200909,일반탄산음료,39,4169,1119,27,131989,4096,8
200910,일반탄산음료,38,4822,1117,22,136095,2824,10
200911,일반탄산음료,39,2787,1106,12,136152,3684,9
200912,일반탄산음료,39,2642,1106,5,137391,216,9
201001,일반탄산음료,38,2548,1111,2,141145,792,11
201002,일반탄산음료,40,2507,1124,7,128528,4384,9
201003,일반탄산음료,40,3563,1130,10,145771,2940,9
201004,일반탄산음료,40,3714,1130,15,130412,5973,8
201005,일반탄산음료,42,4573,1189,23,143681,8656,12
201006,일반탄산음료,42,4983,1217,28,145035,6325,8
201007,일반탄산음료,42,3902,1248,29,148561,14930,9
201008,일반탄산음료,44,4732,1238,31,153056,30531,9
201009,일반탄산음료,44,4689,1240,27,147804,23150,11
201010,일반탄산음료,43,4355,1241,20,155952,1337,10
201011,일반탄산음료,43,3406,1241,13,154482,0,8
201012,일반탄산음료,43,3240,1241,5,161292,886,8
201101,일반탄산음료,43,2956,1241,-1,163610,82,10
201102,일반탄산음료,43,3103,1273,7,149737,5587,11
201103,일반탄산음료,40,3755,1309,10,169838,919,9
201104,일반탄산음료,43,4350,1306,17,167577,8244,9
201105,일반탄산음료,42,5066,1314,23,176452,7345,10
201106,일반탄산음료,44,4848,1310,27,173664,25001,9
201107,일반탄산음료,44,5878,1315,29,182676,43058,10
201108,일반탄산음료,50,4969,1207,29,186850,20554,9
201109,일반탄산음료,50,5004,1221,26,184270,5373,10
201110,일반탄산음료,50,4984,1235,20,194286,4146,11
201111,일반탄산음료,50,4259,1235,16,191703,10027,8
201112,일반탄산음료,49,3854,1239,5,201541,489,9
201201,일반탄산음료,50,4279,1233,3,203133,362,11
201202,일반탄산음료,53,4207,1203,5,186880,377,8
201203,일반탄산음료,53,5351,1193,11,212945,6556,10
201204,일반탄산음료,53,5826,1193,18,209151,17042,9
201205,일반탄산음료,51,5703,1435,24,215673,2095,10
201206,일반탄산음료,57,6059,1395,28,215525,8865,10
201207,일반탄산음료,60,6036,1418,29,203590,25076,9
201208,일반탄산음료,60,8128,1418,30,228142,32385,9
201209,일반탄산음료,59,6233,1481,25,223581,23569,10
201210,일반탄산음료,58,6610,1486,21,233331,11111,10
201211,일반탄산음료,55,4408,1518,11,229144,4805,8
201212,일반탄산음료,58,4304,1522,2,239129,3706,11
201301,일반탄산음료,57,4339,1531,2,240416,2528,9
201302,일반탄산음료,58,4340,1544,5,217015,6667,9
201303,일반탄산음료,59,4834,1543,12,243648,4364,11
201304,일반탄산음료,58,5384,1544,15,237340,6727,8
201305,일반탄산음료,59,7094,1540,23,245068,17217,10
201306,일반탄산음료,55,7963,1462,28,236180,7360,11
201307,일반탄산음료,55,7947,1462,29,241687,41344,8
201308,일반탄산음료,56,9079,1455,31,240142,22284,10
201309,일반탄산음료,58,7186,1493,26,231662,13699,12
201310,일반탄산음료,56,8716,1473,21,239981,3011,10
201311,일반탄산음료,55,5610,1473,12,232854,2944,9
201312,일반탄산음료,58,5993,1483,5,240458,202,10
200901,차음료,43,1346,1422,4,126753,151,12
200902,차음료,42,1260,1431,9,113399,3014,8
200903,차음료,43,1664,1498,12,129162,1383,9
200904,차음료,43,2125,1501,19,126277,3564,8
200905,차음료,46,2220,1477,25,129584,9288,12
200906,차음료,43,2082,1266,27,123218,9998,8
200907,차음료,45,2153,1249,28,131083,17405,8
200908,차음료,44,2479,1243,29,130040,7704,10
200909,차음료,43,2394,1253,27,131989,4096,8
200910,차음료,45,2116,1242,22,136095,2824,10
200911,차음료,44,1657,1236,12,136152,3684,9
200912,차음료,43,1518,1233,5,137391,216,9
201001,차음료,42,1463,1233,2,141145,792,11
201002,차음료,42,1336,1235,7,128528,4384,9
201003,차음료,41,1645,1240,10,145771,2940,9
201004,차음료,41,1979,1243,15,130412,5973,8
201005,차음료,43,2193,1229,23,143681,8656,12
201006,차음료,41,2366,1240,28,145035,6325,8
201007,차음료,42,2385,1246,29,148561,14930,9
201008,차음료,43,2561,1276,31,153056,30531,9
201009,차음료,43,2222,1264,27,147804,23150,11
201010,차음료,45,2276,1294,20,155952,1337,10
201011,차음료,45,1919,1288,13,154482,0,8
201012,차음료,40,1898,1308,5,161292,886,8
201101,차음료,40,1685,1308,-1,163610,82,10
201102,차음료,42,1648,1301,7,149737,5587,11
201103,차음료,40,2069,1308,10,169838,919,9
201104,차음료,43,2473,1363,17,167577,8244,9
201105,차음료,43,2626,1367,23,176452,7345,10
201106,차음료,43,2779,1356,27,173664,25001,9
201107,차음료,44,2717,1377,29,182676,43058,10
201108,차음료,45,2674,1373,29,186850,20554,9
201109,차음료,41,2879,1423,26,184270,5373,10
201110,차음료,41,2535,1421,20,194286,4146,11
201111,차음료,41,2322,1416,16,191703,10027,8
201112,차음료,41,2242,1401,5,201541,489,9
201201,차음료,40,2115,1421,3,203133,362,11
201202,차음료,41,1804,1430,5,186880,377,8
201203,차음료,42,2297,1417,11,212945,6556,10
201204,차음료,42,3001,1424,18,209151,17042,9
201205,차음료,46,3992,1445,24,215673,2095,10
201206,차음료,45,3243,1443,28,215525,8865,10
201207,차음료,48,3206,1476,29,203590,25076,9
201208,차음료,49,3778,1485,30,228142,32385,9
201209,차음료,50,2965,1498,25,223581,23569,10
201210,차음료,50,3090,1498,21,233331,11111,10
201211,차음료,49,2267,1539,11,229144,4805,8
201212,차음료,49,2295,1539,2,239129,3706,11
201301,차음료,49,2089,1539,2,240416,2528,9
201302,차음료,48,1880,1523,5,217015,6667,9
201303,차음료,49,2348,1516,12,243648,4364,11
201304,차음료,50,2435,1510,15,237340,6727,8
201305,차음료,50,3209,1520,23,245068,17217,10
201306,차음료,51,3274,1539,28,236180,7360,11
201307,차음료,51,3395,1539,29,241687,41344,8
201308,차음료,50,3894,1556,31,240142,22284,10
201309,차음료,49,3708,1553,26,231662,13699,12
201310,차음료,49,3413,1553,21,239981,3011,10
201311,차음료,50,2615,1548,12,232854,2944,9
201312,차음료,50,2443,1548,5,240458,202,10
