"","YM","CATEGORY","ITEM_CNT","QTY","PRICE","MAXTEMP","SALEDAY","RAIN_DAY","HOLIDAY"
"1",200901,"건강음료",37,1410,1543,4,126753,151,12
"2",200902,"건강음료",37,1209,1543,9,113399,3014,8
"3",200903,"건강음료",38,1348,1547,12,129162,1383,9
"4",200904,"건강음료",38,1377,1500,19,126277,3564,8
"5",200905,"건강음료",40,1406,1528,25,129584,9288,12
"6",200906,"건강음료",39,1343,1623,27,123218,9998,8
"7",200907,"건강음료",38,1313,1600,28,131083,17405,8
"8",200908,"건강음료",39,1448,1577,29,130040,7704,10
"9",200909,"건강음료",41,1531,1559,27,131989,4096,8
"10",200910,"건강음료",43,1670,1586,22,136095,2824,10
"11",200911,"건강음료",44,1572,1573,12,136152,3684,9
"12",200912,"건강음료",46,1595,1789,5,137391,216,9
"13",201001,"건강음료",45,1432,1796,2,141145,792,11
"14",201002,"건강음료",45,1287,1796,7,128528,4384,9
"15",201003,"건강음료",45,1430,1796,10,145771,2940,9
"16",201004,"건강음료",45,1503,1796,15,130412,5973,8
"17",201005,"건강음료",44,1526,1877,23,143681,8656,12
"18",201006,"건강음료",40,1409,1940,28,145035,6325,8
"19",201007,"건강음료",40,1380,1940,29,148561,14930,9
"20",201008,"건강음료",40,1372,1940,31,153056,30531,9
"21",201009,"건강음료",41,1519,1971,27,147804,23150,11
"22",201010,"건강음료",41,2052,1988,20,155952,1337,10
"23",201011,"건강음료",41,1655,1988,13,154482,0,8
"24",201012,"건강음료",41,1762,1988,5,161292,886,8
"25",201101,"건강음료",42,1626,1957,-1,163610,82,10
"26",201102,"건강음료",41,1496,1988,7,149737,5587,11
"27",201103,"건강음료",41,1678,1988,10,169838,919,9
"28",201104,"건강음료",41,1653,1988,17,167577,8244,9
"29",201105,"건강음료",38,1654,2051,23,176452,7345,10
"30",201106,"건강음료",37,1580,2012,27,173664,25001,9
"31",201107,"건강음료",37,1553,2012,29,182676,43058,10
"32",201108,"건강음료",37,1799,2012,29,186850,20554,9
"33",201109,"건강음료",36,1773,2026,26,184270,5373,10
"34",201110,"건강음료",33,1914,2026,20,194286,4146,11
"35",201111,"건강음료",31,1907,2156,16,191703,10027,8
"36",201112,"건강음료",30,1975,2112,5,201541,489,9
"37",201201,"건강음료",30,1701,2112,3,203133,362,11
"38",201202,"건강음료",31,1607,2182,5,186880,377,8
"39",201203,"건강음료",31,1578,2182,11,212945,6556,10
"40",201204,"건강음료",42,1541,10944,18,209151,17042,9
"41",201205,"건강음료",42,1662,10944,24,215673,2095,10
"42",201206,"건강음료",45,1518,10266,28,215525,8865,10
"43",201207,"건강음료",43,1554,10441,29,203590,25076,9
"44",201208,"건강음료",43,1501,10462,30,228142,32385,9
"45",201209,"건강음료",42,1912,10625,25,223581,23569,10
"46",201210,"건강음료",44,2045,10188,21,233331,11111,10
"47",201211,"건강음료",40,1907,11094,11,229144,4805,8
"48",201212,"건강음료",38,2141,11309,2,239129,3706,11
"49",201301,"건강음료",38,1828,11309,2,240416,2528,9
"50",201302,"건강음료",38,1605,11309,5,217015,6667,9
"51",201303,"건강음료",38,1780,11309,12,243648,4364,11
"52",201304,"건강음료",38,1649,11309,15,237340,6727,8
"53",201305,"건강음료",38,1670,11309,23,245068,17217,10
"54",201306,"건강음료",37,1427,11566,28,236180,7360,11
"55",201307,"건강음료",37,1333,11572,29,241687,41344,8
"56",201308,"건강음료",35,1467,12456,31,240142,22284,10
"57",201309,"건강음료",34,1583,11116,26,231662,13699,12
"58",201310,"건강음료",32,1996,11739,21,239981,3011,10
"59",201311,"건강음료",33,2000,11420,12,232854,2944,9
"60",201312,"건강음료",33,2039,11420,5,240458,202,10
"61",200901,"과즙음료",45,990,2611,4,126753,151,12
"62",200902,"과즙음료",45,1199,2689,9,113399,3014,8
"63",200903,"과즙음료",43,1102,2735,12,129162,1383,9
"64",200904,"과즙음료",42,1326,2807,19,126277,3564,8
"65",200905,"과즙음료",46,1672,2674,25,129584,9288,12
"66",200906,"과즙음료",48,1875,2777,27,123218,9998,8
"67",200907,"과즙음료",53,1663,2858,28,131083,17405,8
"68",200908,"과즙음료",52,1957,2886,29,130040,7704,10
"69",200909,"과즙음료",54,2021,2838,27,131989,4096,8
"70",200910,"과즙음료",56,1718,2879,22,136095,2824,10
"71",200911,"과즙음료",58,1204,2853,12,136152,3684,9
"72",200912,"과즙음료",57,1147,2694,5,137391,216,9
"73",201001,"과즙음료",55,1106,2746,2,141145,792,11
"74",201002,"과즙음료",55,1361,2752,7,128528,4384,9
"75",201003,"과즙음료",55,1432,2800,10,145771,2940,9
"76",201004,"과즙음료",57,1750,2768,15,130412,5973,8
"77",201005,"과즙음료",57,2204,2768,23,143681,8656,12
"78",201006,"과즙음료",63,2366,2637,28,145035,6325,8
"79",201007,"과즙음료",63,2681,2637,29,148561,14930,9
"80",201008,"과즙음료",62,2321,2660,31,153056,30531,9
"81",201009,"과즙음료",64,1963,2786,27,147804,23150,11
"82",201010,"과즙음료",63,2321,2811,20,155952,1337,10
"83",201011,"과즙음료",65,1548,2932,13,154482,0,8
"84",201012,"과즙음료",66,1306,2958,5,161292,886,8
"85",201101,"과즙음료",68,1268,2960,-1,163610,82,10
"86",201102,"과즙음료",65,1528,3042,7,149737,5587,11
"87",201103,"과즙음료",63,1874,3112,10,169838,919,9
"88",201104,"과즙음료",74,2200,2984,17,167577,8244,9
"89",201105,"과즙음료",72,3247,2937,23,176452,7345,10
"90",201106,"과즙음료",73,2783,2913,27,173664,25001,9
"91",201107,"과즙음료",74,2593,3039,29,182676,43058,10
"92",201108,"과즙음료",79,2765,2792,29,186850,20554,9
"93",201109,"과즙음료",77,2971,2817,26,184270,5373,10
"94",201110,"과즙음료",76,2459,2838,20,194286,4146,11
"95",201111,"과즙음료",75,2299,2876,16,191703,10027,8
"96",201112,"과즙음료",75,1823,2876,5,201541,489,9
"97",201201,"과즙음료",71,1402,2942,3,203133,362,11
"98",201202,"과즙음료",72,1859,2907,5,186880,377,8
"99",201203,"과즙음료",70,2566,2941,11,212945,6556,10
"100",201204,"과즙음료",77,2475,2818,18,209151,17042,9
"101",201205,"과즙음료",80,3653,3146,24,215673,2095,10
"102",201206,"과즙음료",83,3474,3251,28,215525,8865,10
"103",201207,"과즙음료",76,2568,2205,29,203590,25076,9
"104",201208,"과즙음료",73,2854,2218,30,228142,32385,9
"105",201209,"과즙음료",69,2744,2269,25,223581,23569,10
"106",201210,"과즙음료",71,2369,2246,21,233331,11111,10
"107",201211,"과즙음료",67,1833,2299,11,229144,4805,8
"108",201212,"과즙음료",64,1621,2158,2,239129,3706,11
"109",201301,"과즙음료",63,1627,2184,2,240416,2528,9
"110",201302,"과즙음료",65,1624,2337,5,217015,6667,9
"111",201303,"과즙음료",63,2103,2376,12,243648,4364,11
"112",201304,"과즙음료",60,2117,2445,15,237340,6727,8
"113",201305,"과즙음료",62,2606,2419,23,245068,17217,10
"114",201306,"과즙음료",56,2621,1962,28,236180,7360,11
"115",201307,"과즙음료",59,2336,1936,29,241687,41344,8
"116",201308,"과즙음료",61,2755,1957,31,240142,22284,10
"117",201309,"과즙음료",59,2992,1928,26,231662,13699,12
"118",201310,"과즙음료",64,2563,1898,21,239981,3011,10
"119",201311,"과즙음료",68,1878,1923,12,232854,2944,9
"120",201312,"과즙음료",65,1770,1939,5,240458,202,10
"121",200901,"차음료",43,1346,1422,4,126753,151,12
"122",200902,"차음료",42,1260,1431,9,113399,3014,8
"123",200903,"차음료",43,1664,1498,12,129162,1383,9
"124",200904,"차음료",43,2125,1501,19,126277,3564,8
"125",200905,"차음료",46,2220,1477,25,129584,9288,12
"126",200906,"차음료",43,2082,1266,27,123218,9998,8
"127",200907,"차음료",45,2153,1249,28,131083,17405,8
"128",200908,"차음료",44,2479,1243,29,130040,7704,10
"129",200909,"차음료",43,2394,1253,27,131989,4096,8
"130",200910,"차음료",45,2116,1242,22,136095,2824,10
"131",200911,"차음료",44,1657,1236,12,136152,3684,9
"132",200912,"차음료",43,1518,1233,5,137391,216,9
"133",201001,"차음료",42,1463,1233,2,141145,792,11
"134",201002,"차음료",42,1336,1235,7,128528,4384,9
"135",201003,"차음료",41,1645,1240,10,145771,2940,9
"136",201004,"차음료",41,1979,1243,15,130412,5973,8
"137",201005,"차음료",43,2193,1229,23,143681,8656,12
"138",201006,"차음료",41,2366,1240,28,145035,6325,8
"139",201007,"차음료",42,2385,1246,29,148561,14930,9
"140",201008,"차음료",43,2561,1276,31,153056,30531,9
"141",201009,"차음료",43,2222,1264,27,147804,23150,11
"142",201010,"차음료",45,2276,1294,20,155952,1337,10
"143",201011,"차음료",45,1919,1288,13,154482,0,8
"144",201012,"차음료",40,1898,1308,5,161292,886,8
"145",201101,"차음료",40,1685,1308,-1,163610,82,10
"146",201102,"차음료",42,1648,1301,7,149737,5587,11
"147",201103,"차음료",40,2069,1308,10,169838,919,9
"148",201104,"차음료",43,2473,1363,17,167577,8244,9
"149",201105,"차음료",43,2626,1367,23,176452,7345,10
"150",201106,"차음료",43,2779,1356,27,173664,25001,9
"151",201107,"차음료",44,2717,1377,29,182676,43058,10
"152",201108,"차음료",45,2674,1373,29,186850,20554,9
"153",201109,"차음료",41,2879,1423,26,184270,5373,10
"154",201110,"차음료",41,2535,1421,20,194286,4146,11
"155",201111,"차음료",41,2322,1416,16,191703,10027,8
"156",201112,"차음료",41,2242,1401,5,201541,489,9
"157",201201,"차음료",40,2115,1421,3,203133,362,11
"158",201202,"차음료",41,1804,1430,5,186880,377,8
"159",201203,"차음료",42,2297,1417,11,212945,6556,10
"160",201204,"차음료",42,3001,1424,18,209151,17042,9
"161",201205,"차음료",46,3992,1445,24,215673,2095,10
"162",201206,"차음료",45,3243,1443,28,215525,8865,10
"163",201207,"차음료",48,3206,1476,29,203590,25076,9
"164",201208,"차음료",49,3778,1485,30,228142,32385,9
"165",201209,"차음료",50,2965,1498,25,223581,23569,10
"166",201210,"차음료",50,3090,1498,21,233331,11111,10
"167",201211,"차음료",49,2267,1539,11,229144,4805,8
"168",201212,"차음료",49,2295,1539,2,239129,3706,11
"169",201301,"차음료",49,2089,1539,2,240416,2528,9
"170",201302,"차음료",48,1880,1523,5,217015,6667,9
"171",201303,"차음료",49,2348,1516,12,243648,4364,11
"172",201304,"차음료",50,2435,1510,15,237340,6727,8
"173",201305,"차음료",50,3209,1520,23,245068,17217,10
"174",201306,"차음료",51,3274,1539,28,236180,7360,11
"175",201307,"차음료",51,3395,1539,29,241687,41344,8
"176",201308,"차음료",50,3894,1556,31,240142,22284,10
"177",201309,"차음료",49,3708,1553,26,231662,13699,12
"178",201310,"차음료",49,3413,1553,21,239981,3011,10
"179",201311,"차음료",50,2615,1548,12,232854,2944,9
"180",201312,"차음료",50,2443,1548,5,240458,202,10
